T,Optimal UCB,Reward UCB,Regret UCB,Regret UCB / T
5036,14.341404885363216,17.382633052848675,1273012.6901672778,252.7825040046223
5037,14.713286953210815,17.337701262624027,1273255.5446618595,252.78053298825878
5038,13.82813743338706,17.376265426086146,1273510.437722542,252.7809523069754
5039,15.484350872314518,17.330568020784927,1273737.3057693054,252.77580983713148
5040,13.796380639156064,17.332200792463183,1274022.8431283417,252.78231014451225
5041,14.824559626673144,17.38770773715423,1274245.8541504447,252.77640431470834
5042,15.18813703799498,17.239366482136358,1274491.9267526185,252.77507472285174
5043,15.536852124446686,17.088868894290982,1274721.6714231577,252.7705079165492
5044,15.37848909856675,17.14198766302925,1274996.7315261404,252.77492694808493
5045,13.77148716305398,17.23046007413674,1275252.7396287266,252.77556781540667
5046,14.576545384587472,17.175458494881646,1275488.4826984354,252.77219236988415
5047,13.71255100221867,17.35879776700694,1275734.6344778235,252.77088061775777
5048,13.25227822633811,17.045779409999568,1275977.953693532,252.76900825941598
5049,14.58711898810875,17.797956930744324,1276198.5449977778,252.7626351748421
5050,12.655620423191063,17.248993164845853,1276434.2390006562,252.7592552476547
5051,14.071609843514365,12.190641679916464,1276667.0636080191,252.75530857414753
5052,12.76946168311158,17.218793479257897,1276932.078950422,252.75773534252215
5053,16.417390778461048,17.65225458141711,1277134.87788193,252.74784838352068
5054,14.794276230376468,17.495708561491373,1277416.303762464,252.75352270725446
5055,13.717523281164642,17.334328330115742,1277649.4583136395,252.74964556155084
5056,14.936868605512766,17.774127112790854,1277874.245364725,252.74411498511174
5057,14.540526432281604,17.623527327024632,1278110.194772113,252.74079390391796
5058,13.76801808315987,17.418219416631505,1278351.298208688,252.73849312152785
5059,15.625193586761975,17.532650181848158,1278576.0963398702,252.7329702193853
5060,13.72725196464837,17.02963400635935,1278828.50893267,252.73290690368975
5061,14.861258784351126,16.426180620359023,1279085.3089029363,252.73371051233676
5062,15.384813621162309,17.658099820210314,1279331.5961038389,252.73243700194368
5063,15.40837758342063,17.248463380981494,1279596.058847166,252.73475387066281
5064,15.30160304239873,17.39885737991041,1279852.7762968547,252.73554034298078
5065,14.595495877353397,17.340266988117683,1280106.2770621174,252.7356914239126
5066,15.41855072094983,16.979150627013542,1280349.613542355,252.7338360723164
5067,15.751924797250693,17.40697237565301,1280623.7523599516,252.73806046180218
5068,14.772680374122558,17.646210729647755,1280892.6707528837,252.7412531083038
5069,13.973918340797656,17.22164444909357,1281125.981171949,252.73741984058967
5070,14.504972783860907,17.22420739426829,1281353.4638176386,252.7324386228084
5071,14.49235938876584,10.35291929527297,1281612.2144946954,252.73362541800344
5072,16.253377508762046,16.73382491902038,1281855.2914688592,252.7317215041126
5073,15.738590490524672,17.559938556998187,1282135.2333607122,252.73708522781632
5074,15.298632591993742,17.400142112136198,1282373.6027242767,252.7342535916982
5075,16.51613155064534,16.81329101407081,1282635.2173092614,252.73600341069192
